rgn_id,sector,weight
1,aqf,1
1,cf,1
1,mar,1
1,mmw,1
1,tour,1
2,aqf,1
2,cf,1
2,mar,1
2,mmw,1
2,tour,1
3,aqf,1
3,cf,1
3,mar,1
3,mmw,1
3,tour,1
4,aqf,1
4,cf,1
4,mar,1
4,mmw,1
4,tour,1
5,aqf,1
5,cf,1
5,mar,1
5,mmw,1
5,tour,1
6,aqf,1
6,cf,1
6,mar,1
6,mmw,1
6,tour,1
7,aqf,1
7,cf,1
7,mar,1
7,mmw,1
7,tour,1
8,aqf,1
8,cf,1
8,mar,1
8,mmw,1
8,tour,1
9,aqf,1
9,cf,1
9,mar,1
9,mmw,1
9,tour,1
10,aqf,1
10,cf,1
10,mar,1
10,mmw,1
10,tour,1
11,aqf,1
11,cf,1
11,mar,1
11,mmw,1
11,tour,1
12,aqf,1
12,cf,1
12,mar,1
12,mmw,1
12,tour,1
14,aqf,1
14,cf,1
14,mar,1
14,mmw,1
14,tour,1
15,aqf,1
15,cf,1
15,mar,1
15,mmw,1
15,tour,1
16,aqf,1
16,cf,1
16,mar,1
16,mmw,1
16,tour,1
17,aqf,1
17,cf,1
17,mar,1
17,mmw,1
17,tour,1
