rgn_id,year,a_prot_3nm
1,2000,18545.5
1,2001,18584.5
1,2002,18585
1,2003,20862.25
1,2004,20889.25
1,2005,22410.25
1,2006,22729
1,2007,22895.25
1,2008,25205
1,2009,25251.5
1,2010,30090.75
1,2011,30153.25
1,2012,30153.25
1,2013,30461.5
1,2014,30462.75
1,2015,31730
1,2016,31730
1,2017,31730
2,2000,18545.5
2,2001,18584.5
2,2002,18585
2,2003,20862.25
2,2004,20889.25
2,2005,22410.25
2,2006,22729
2,2007,22895.25
2,2008,25205
2,2009,25251.5
2,2010,30090.75
2,2011,30153.25
2,2012,30153.25
2,2013,30461.5
2,2014,30462.75
2,2015,31730
2,2016,31730
2,2017,31730
3,2000,18545.5
3,2001,18584.5
3,2002,18585
3,2003,20862.25
3,2004,20889.25
3,2005,22410.25
3,2006,22729
3,2007,22895.25
3,2008,25205
3,2009,25251.5
3,2010,30090.75
3,2011,30153.25
3,2012,30153.25
3,2013,30461.5
3,2014,30462.75
3,2015,31730
3,2016,31730
3,2017,31730
4,2000,18545.5
4,2001,18584.5
4,2002,18585
4,2003,20862.25
4,2004,20889.25
4,2005,22410.25
4,2006,22729
4,2007,22895.25
4,2008,25205
4,2009,25251.5
4,2010,30090.75
4,2011,30153.25
4,2012,30153.25
4,2013,30461.5
4,2014,30462.75
4,2015,31730
4,2016,31730
4,2017,31730
5,2000,18545.5
5,2001,18584.5
5,2002,18585
5,2003,20862.25
5,2004,20889.25
5,2005,22410.25
5,2006,22729
5,2007,22895.25
5,2008,25205
5,2009,25251.5
5,2010,30090.75
5,2011,30153.25
5,2012,30153.25
5,2013,30461.5
5,2014,30462.75
5,2015,31730
5,2016,31730
5,2017,31730
6,2000,18545.5
6,2001,18584.5
6,2002,18585
6,2003,20862.25
6,2004,20889.25
6,2005,22410.25
6,2006,22729
6,2007,22895.25
6,2008,25205
6,2009,25251.5
6,2010,30090.75
6,2011,30153.25
6,2012,30153.25
6,2013,30461.5
6,2014,30462.75
6,2015,31730
6,2016,31730
6,2017,31730
7,2000,18545.5
7,2001,18584.5
7,2002,18585
7,2003,20862.25
7,2004,20889.25
7,2005,22410.25
7,2006,22729
7,2007,22895.25
7,2008,25205
7,2009,25251.5
7,2010,30090.75
7,2011,30153.25
7,2012,30153.25
7,2013,30461.5
7,2014,30462.75
7,2015,31730
7,2016,31730
7,2017,31730
8,2000,18545.5
8,2001,18584.5
8,2002,18585
8,2003,20862.25
8,2004,20889.25
8,2005,22410.25
8,2006,22729
8,2007,22895.25
8,2008,25205
8,2009,25251.5
8,2010,30090.75
8,2011,30153.25
8,2012,30153.25
8,2013,30461.5
8,2014,30462.75
8,2015,31730
8,2016,31730
8,2017,31730
